Sample Name	Characteristics[Organism part]	Term Source REF	Term Accession Number	Assay Name	Raw Data File	Protocol REF	Parameter Value[Trait Definition File]	Derived Data File
Sample243	whole plant	PO	3	Assay243	NA	Data transformation	tdf_polapgen_field.txt	d_polapgen_field2012.txt
Sample244	whole plant	PO	3	Assay244	NA	Data transformation	tdf_polapgen_field.txt	d_polapgen_field2012.txt
Sample245	whole plant	PO	3	Assay245	NA	Data transformation	tdf_polapgen_field.txt	d_polapgen_field2012.txt
Sample246	whole plant	PO	3	Assay246	NA	Data transformation	tdf_polapgen_field.txt	d_polapgen_field2012.txt
Sample247	whole plant	PO	3	Assay247	NA	Data transformation	tdf_polapgen_field.txt	d_polapgen_field2012.txt
Sample248	whole plant	PO	3	Assay248	NA	Data transformation	tdf_polapgen_field.txt	d_polapgen_field2012.txt
Sample249	whole plant	PO	3	Assay249	NA	Data transformation	tdf_polapgen_field.txt	d_polapgen_field2012.txt
Sample250	whole plant	PO	3	Assay250	NA	Data transformation	tdf_polapgen_field.txt	d_polapgen_field2012.txt
Sample251	whole plant	PO	3	Assay251	NA	Data transformation	tdf_polapgen_field.txt	d_polapgen_field2012.txt
Sample252	whole plant	PO	3	Assay252	NA	Data transformation	tdf_polapgen_field.txt	d_polapgen_field2012.txt
Sample253	whole plant	PO	3	Assay253	NA	Data transformation	tdf_polapgen_field.txt	d_polapgen_field2012.txt
Sample254	whole plant	PO	3	Assay254	NA	Data transformation	tdf_polapgen_field.txt	d_polapgen_field2012.txt
Sample255	whole plant	PO	3	Assay255	NA	Data transformation	tdf_polapgen_field.txt	d_polapgen_field2012.txt
Sample256	whole plant	PO	3	Assay256	NA	Data transformation	tdf_polapgen_field.txt	d_polapgen_field2012.txt
Sample257	whole plant	PO	3	Assay257	NA	Data transformation	tdf_polapgen_field.txt	d_polapgen_field2012.txt
Sample258	whole plant	PO	3	Assay258	NA	Data transformation	tdf_polapgen_field.txt	d_polapgen_field2012.txt
Sample259	whole plant	PO	3	Assay259	NA	Data transformation	tdf_polapgen_field.txt	d_polapgen_field2012.txt
Sample260	whole plant	PO	3	Assay260	NA	Data transformation	tdf_polapgen_field.txt	d_polapgen_field2012.txt
Sample261	whole plant	PO	3	Assay261	NA	Data transformation	tdf_polapgen_field.txt	d_polapgen_field2012.txt
Sample262	whole plant	PO	3	Assay262	NA	Data transformation	tdf_polapgen_field.txt	d_polapgen_field2012.txt
Sample263	whole plant	PO	3	Assay263	NA	Data transformation	tdf_polapgen_field.txt	d_polapgen_field2012.txt
Sample264	whole plant	PO	3	Assay264	NA	Data transformation	tdf_polapgen_field.txt	d_polapgen_field2012.txt
Sample265	whole plant	PO	3	Assay265	NA	Data transformation	tdf_polapgen_field.txt	d_polapgen_field2012.txt
Sample266	whole plant	PO	3	Assay266	NA	Data transformation	tdf_polapgen_field.txt	d_polapgen_field2012.txt
Sample267	whole plant	PO	3	Assay267	NA	Data transformation	tdf_polapgen_field.txt	d_polapgen_field2012.txt
Sample268	whole plant	PO	3	Assay268	NA	Data transformation	tdf_polapgen_field.txt	d_polapgen_field2012.txt
Sample269	whole plant	PO	3	Assay269	NA	Data transformation	tdf_polapgen_field.txt	d_polapgen_field2012.txt
Sample270	whole plant	PO	3	Assay270	NA	Data transformation	tdf_polapgen_field.txt	d_polapgen_field2012.txt
Sample271	whole plant	PO	3	Assay271	NA	Data transformation	tdf_polapgen_field.txt	d_polapgen_field2012.txt
Sample272	whole plant	PO	3	Assay272	NA	Data transformation	tdf_polapgen_field.txt	d_polapgen_field2012.txt
Sample273	whole plant	PO	3	Assay273	NA	Data transformation	tdf_polapgen_field.txt	d_polapgen_field2012.txt
Sample274	whole plant	PO	3	Assay274	NA	Data transformation	tdf_polapgen_field.txt	d_polapgen_field2012.txt
Sample275	whole plant	PO	3	Assay275	NA	Data transformation	tdf_polapgen_field.txt	d_polapgen_field2012.txt
Sample276	whole plant	PO	3	Assay276	NA	Data transformation	tdf_polapgen_field.txt	d_polapgen_field2012.txt
Sample277	whole plant	PO	3	Assay277	NA	Data transformation	tdf_polapgen_field.txt	d_polapgen_field2012.txt
Sample278	whole plant	PO	3	Assay278	NA	Data transformation	tdf_polapgen_field.txt	d_polapgen_field2012.txt
Sample279	whole plant	PO	3	Assay279	NA	Data transformation	tdf_polapgen_field.txt	d_polapgen_field2012.txt
Sample280	whole plant	PO	3	Assay280	NA	Data transformation	tdf_polapgen_field.txt	d_polapgen_field2012.txt
Sample281	whole plant	PO	3	Assay281	NA	Data transformation	tdf_polapgen_field.txt	d_polapgen_field2012.txt
Sample282	whole plant	PO	3	Assay282	NA	Data transformation	tdf_polapgen_field.txt	d_polapgen_field2012.txt
Sample283	whole plant	PO	3	Assay283	NA	Data transformation	tdf_polapgen_field.txt	d_polapgen_field2012.txt
Sample284	whole plant	PO	3	Assay284	NA	Data transformation	tdf_polapgen_field.txt	d_polapgen_field2012.txt
Sample285	whole plant	PO	3	Assay285	NA	Data transformation	tdf_polapgen_field.txt	d_polapgen_field2012.txt
Sample286	whole plant	PO	3	Assay286	NA	Data transformation	tdf_polapgen_field.txt	d_polapgen_field2012.txt
Sample287	whole plant	PO	3	Assay287	NA	Data transformation	tdf_polapgen_field.txt	d_polapgen_field2012.txt
Sample288	whole plant	PO	3	Assay288	NA	Data transformation	tdf_polapgen_field.txt	d_polapgen_field2012.txt
Sample289	whole plant	PO	3	Assay289	NA	Data transformation	tdf_polapgen_field.txt	d_polapgen_field2012.txt
Sample290	whole plant	PO	3	Assay290	NA	Data transformation	tdf_polapgen_field.txt	d_polapgen_field2012.txt
Sample291	whole plant	PO	3	Assay291	NA	Data transformation	tdf_polapgen_field.txt	d_polapgen_field2012.txt
Sample292	whole plant	PO	3	Assay292	NA	Data transformation	tdf_polapgen_field.txt	d_polapgen_field2012.txt
Sample293	whole plant	PO	3	Assay293	NA	Data transformation	tdf_polapgen_field.txt	d_polapgen_field2012.txt
Sample294	whole plant	PO	3	Assay294	NA	Data transformation	tdf_polapgen_field.txt	d_polapgen_field2012.txt
Sample295	whole plant	PO	3	Assay295	NA	Data transformation	tdf_polapgen_field.txt	d_polapgen_field2012.txt
Sample296	whole plant	PO	3	Assay296	NA	Data transformation	tdf_polapgen_field.txt	d_polapgen_field2012.txt
Sample297	whole plant	PO	3	Assay297	NA	Data transformation	tdf_polapgen_field.txt	d_polapgen_field2012.txt
Sample298	whole plant	PO	3	Assay298	NA	Data transformation	tdf_polapgen_field.txt	d_polapgen_field2012.txt
Sample299	whole plant	PO	3	Assay299	NA	Data transformation	tdf_polapgen_field.txt	d_polapgen_field2012.txt
Sample300	whole plant	PO	3	Assay300	NA	Data transformation	tdf_polapgen_field.txt	d_polapgen_field2012.txt
Sample301	whole plant	PO	3	Assay301	NA	Data transformation	tdf_polapgen_field.txt	d_polapgen_field2012.txt
Sample302	whole plant	PO	3	Assay302	NA	Data transformation	tdf_polapgen_field.txt	d_polapgen_field2012.txt
Sample303	whole plant	PO	3	Assay303	NA	Data transformation	tdf_polapgen_field.txt	d_polapgen_field2012.txt
Sample304	whole plant	PO	3	Assay304	NA	Data transformation	tdf_polapgen_field.txt	d_polapgen_field2012.txt
Sample305	whole plant	PO	3	Assay305	NA	Data transformation	tdf_polapgen_field.txt	d_polapgen_field2012.txt
